cen2010_zcta_dp.htm:9 Uncaught ReferenceError: stLight is not defined
    at cen2010_zcta_dp.htm:9
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
for(i = 0 ; i < 33120 ; i++){
    console.log(obj.getCellValue(0, i) + "/" + obj.getCellValue(1, i) + "/" + obj.getCellValue(2, i) + "/" + obj.getCellValue(7, i) + "/" + obj.getCellValue(8, i))
}
VM78:2 01746/48288456/1071734/42.195951/-71.45343
VM78:2 01747/13392801/443995/42.12408/-71.533416
VM78:2 01748/68016796/4215056/42.224104/-71.540484
VM78:2 01749/29841347/890275/42.389071/-71.545864
VM78:2 01752/54041301/3200938/42.349618/-71.547214
VM78:2 01754/13502214/407075/42.425955/-71.456256
VM78:2 01756/46035300/552653/42.09447/-71.544902
VM78:2 01757/38538162/711615/42.158692/-71.521419
VM78:2 01760/38359306/2599042/42.284822/-71.348811
VM78:2 01770/40966896/961380/42.23357/-71.37469
VM78:2 01772/35264800/3918373/42.302877/-71.530828
VM78:2 01773/35266029/2003417/42.425506/-71.310811
VM78:2 01775/44839702/1739781/42.429688/-71.512514
VM78:2 01776/62778117/1244383/42.383367/-71.42107
VM78:2 01778/39388852/2080227/42.343686/-71.381186
VM78:2 01801/32769438/806847/42.488659/-71.154425
VM78:2 01803/30291646/324832/42.503227/-71.201713
VM78:2 01810/79897507/3425223/42.648044/-71.161751
VM78:2 01821/42910631/1026154/42.549329/-71.251724
VM78:2 01824/45964727/1008300/42.59079/-71.355182
VM78:2 01826/53421277/1706647/42.679723/-71.30068
VM78:2 01827/42620556/784744/42.676078/-71.500517
VM78:2 01830/35735901/3350990/42.796313/-71.053436
VM78:2 01832/29420960/1250817/42.791114/-71.132858
VM78:2 01833/33307258/750803/42.727885/-70.982034
VM78:2 01834/23008816/1330583/42.7539/-71.015935
VM78:2 01835/20235250/2287169/42.751157/-71.094242
VM78:2 01840/1290418/200628/42.706763/-71.160403
VM78:2 01841/8000223/462412/42.712015/-71.164873
VM78:2 01843/8726317/579700/42.689974/-71.160383
VM78:2 01844/57543453/2042287/42.742751/-71.178588
VM78:2 01845/68133522/3720537/42.673909/-71.091334
VM78:2 01850/3521737/305905/42.656045/-71.303309
VM78:2 01851/8645533/115440/42.627812/-71.33533
VM78:2 01852/12828750/627353/42.631849/-71.295785
VM78:2 01854/10187861/1393292/42.649481/-71.348229
VM78:2 01860/21907317/1027094/42.838603/-71.011997
VM78:2 01862/23934124/1075799/42.578543/-71.295592
VM78:2 01863/11973645/841571/42.63378/-71.38947
VM78:2 01864/34032377/923752/42.578222/-71.084398
VM78:2 01867/25733362/47893/42.535183/-71.105423
VM78:2 01876/52981194/935803/42.611801/-71.227571
VM78:2 01879/43464244/3639806/42.667762/-71.42882
VM78:2 01880/17889529/1399492/42.501528/-71.0675
VM78:2 01886/78391449/2854186/42.585295/-71.439826
VM78:2 01887/43971880/464398/42.564647/-71.164516
VM78:2 01890/15615337/818634/42.452752/-71.144319
VM78:2 01901/641320/68753/42.460711/-70.946073
VM78:2 01902/6223889/235638/42.471039/-70.941535
VM78:2 01904/11708211/1303900/42.492456/-70.97393
VM78:2 01905/9219345/1195154/42.465998/-70.975792
VM78:2 01906/27973350/2606092/42.468432/-71.013946
VM78:2 01907/7864226/1107037/42.474287/-70.905908
VM78:2 01908/2708929/3559697/42.428256/-70.926041
VM78:2 01913/31761151/3785528/42.851284/-70.955837
VM78:2 01915/39091336/3958118/42.570269/-70.866996
VM78:2 01921/61010486/2188501/42.683108/-71.01833
VM78:2 01922/24831876/776283/42.757313/-70.914241
VM78:2 01923/34194563/2348722/42.574174/-70.950517
VM78:2 01929/36187007/5125535/42.634421/-70.776592
VM78:2 01930/67847425/13972397/42.61991/-70.681823
VM78:2 01937/189212/0/42.585723/-70.984051
VM78:2 01938/78817223/13930917/42.68386/-70.842664
VM78:2 01940/27320434/1710864/42.534118/-71.038574
VM78:2 01944/23902799/3207908/42.576636/-70.767154
VM78:2 01945/11360555/8555892/42.501835/-70.859126
VM78:2 01949/34849382/2665532/42.606666/-71.010316
VM78:2 01950/21621492/5985744/42.812359/-70.891095
VM78:2 01951/35652314/6826542/42.773351/-70.850211
VM78:2 01952/39960063/6038577/42.844793/-70.841476
VM78:2 01960/41432495/1461233/42.534202/-70.969734
VM78:2 01966/18106523/4167724/42.640741/-70.620242
VM78:2 01969/45304086/4366203/42.720878/-70.891222
VM78:2 01970/21002235/14198461/42.524435/-70.870859
VM78:2 01982/36737604/1888109/42.626223/-70.85723
